AWND,PRCP,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WT22,WV03,PREDICT
0.19049308265342318,0.0,0.7303370786516854,0.578125,0.6065573770491803,0.2276707530647986,0.14141414141414144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30932954948563324,0.09713375796178343,0.7752808988764045,0.609375,0.6721311475409837,0.5253940455341506,0.4545454545454546,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03
0.1429584959205392,0.0,0.8876404494382022,0.796875,0.836065573770492,0.24693520140105082,0.17803030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11103228095069173,0.0,0.8764044943820224,0.8125,0.836065573770492,0.17688266199649738,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15856686768357572,0.0,0.8876404494382022,0.84375,0.836065573770492,0.2819614711033275,0.1893939393939394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.095069173465768,0.020700636942675158,0.6067415730337078,0.453125,0.3770491803278688,0.14185639229422067,0.07702020202020203,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29372117772259665,0.03662420382165605,0.6404494382022472,0.421875,0.459016393442623,0.2626970227670753,0.2032828282828283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.15076268180205746,0.0,0.9438202247191011,0.890625,0.9180327868852459,0.2119089316987741,0.14141414141414144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19829726853494145,0.009554140127388535,0.7640449438202247,0.640625,0.5901639344262295,0.24693520140105082,0.2032828282828283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2380276693863072,0.0,0.8089887640449438,0.71875,0.6557377049180328,0.31348511383537647,0.2398989898989899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1823341610500177,0.0,0.8539325842696629,0.75,0.8032786885245903,0.24693520140105082,0.16414141414141414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20645619013834693,0.041401273885350316,0.9325842696629213,0.8125,0.9016393442622951,0.4185639229422067,0.31691919191919193,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
